,KS_score,GS76_score,rank_KS,rank_GS76,consensus_rank,emt_group
F1262,0.0981934731934732,1.2474765930426628,1911.0,1713.0,1812.0,M
F1263,-0.21807359307359309,5.421801468899929,714.0,2680.0,1697.0,Hybrid
F1264,0.14697802197802198,-3.8668880176593774,2506.5,683.0,1594.75,Hybrid
F1265,-0.10156510156510157,0.8873750525568624,1563.0,1621.0,1592.0,Hybrid
F1266,0.11213786213786214,-1.34087905077741,2096.0,1113.0,1604.5,Hybrid
F1267,0.26556776556776557,-6.390518618804798,3059.0,415.0,1737.0,M
F1268,0.1977189477189477,-7.7308199629113545,2834.0,328.0,1581.0,Hybrid
F1269,0.08703796203796203,2.4392128408207654,1788.5,2005.0,1896.75,M
F1270,-0.3141858141858142,8.587985429197246,283.0,3110.0,1696.5,Hybrid
F1271,-0.3874042624042624,4.74969347231572,121.0,2526.0,1323.5,E
F1272,-0.2798035298035298,9.550705538894753,402.5,3184.0,1793.25,M
F1273,0.12437562437562437,-1.0860189438235253,2252.0,1166.0,1709.0,Hybrid
F1274,0.1725774225774226,-3.3428879215273994,2691.5,774.0,1732.75,M
F1275,0.41387778887778887,-15.799268405697731,3222.0,75.0,1648.5,Hybrid
F1276,-0.3103146853146853,5.431257331536827,293.5,2681.0,1487.25,E
F1277,-0.27713952713952716,1.1308580903140708,417.0,1678.0,1047.5,E
F1278,0.0775058275058275,-0.2440799289465332,1740.5,1363.0,1551.75,E
F1279,0.13032800532800534,-0.434285481061508,2334.0,1313.0,1823.5,M
F1280,-0.36284548784548787,7.195413371125419,165.0,2961.0,1563.0,E
F1281,-0.42832167832167833,7.235817020919313,66.0,2967.0,1516.5,E
F1282,0.155011655011655,-3.778522913551221,2571.0,702.0,1636.5,Hybrid
F1283,-0.13224275724275725,2.630377973324279,1339.5,2051.0,1695.25,Hybrid
F1284,0.09744422244422245,-3.0654289648390076,1904.5,827.0,1365.75,E
F1285,-0.09261571761571762,-1.1690040465603246,1621.5,1147.0,1384.25,E
F1286,0.2358058608058608,-4.221675544076234,2978.0,641.0,1809.5,M
F1287,0.15051615051615053,-1.0723344021076002,2534.0,1174.0,1854.0,M
F1288,-0.12612387612387613,2.8725716710439215,1385.0,2111.0,1748.0,M
F1289,0.2547036297036297,-7.690063751791044,3037.0,330.0,1683.5,Hybrid
F1290,0.3223859473859474,-9.7516102810681,3159.0,205.0,1682.0,Hybrid
F1291,0.17436729936729936,-2.11243622011272,2702.5,987.0,1844.75,M
F1292,-0.176989676989677,4.464598549799582,981.0,2465.0,1723.0,M
F1293,-0.18993506493506493,1.423691812793038,896.0,1764.0,1330.0,E
F1294,0.17852980352980352,-6.689529889228176,2745.0,397.0,1571.0,E
F1295,-0.10456210456210456,0.20854473588808276,1549.0,1466.0,1507.5,E
F1296,0.11172161172161173,1.12956153904112,2094.0,1677.0,1885.5,M
F1297,0.2529137529137529,-6.187753167283212,3029.5,422.0,1725.75,M
F1298,0.35364635364635366,-13.45083062214892,3185.0,101.0,1643.0,Hybrid
F1299,0.3861971361971362,-53.16027174479464,3210.0,6.0,1608.0,Hybrid
F1300,0.7641525141525142,-59.34912302998576,3273.0,3.0,1638.0,Hybrid
F1301,0.0713036963036963,-2.68978662605182,1716.0,880.0,1298.0,E
F1302,-0.31372793872793875,9.673652912657431,285.0,3193.0,1739.0,M
F1303,-0.19264069264069264,4.967645740682826,883.0,2568.0,1725.5,M
F1304,0.6077672327672328,-27.94009072553637,3261.0,29.0,1645.0,Hybrid
F1305,-0.37012987012987014,6.730649457808575,143.5,2901.0,1522.25,E
F1306,0.2373043623043623,-7.34652589608115,2982.0,352.0,1667.0,Hybrid
F1307,0.08553946053946054,3.7651878283702587,1774.0,2314.0,2044.0,M
F1308,-0.3247585747585748,3.154239171012371,251.0,2182.0,1216.5,E
F1309,0.23193473193473194,-5.70442428414502,2960.5,475.0,1717.75,M
